ID_Mahasiswa,Prodi,IPK,IPS_Terakhir,Persentase_Kehadiran,SKS_Lulus,Jumlah_Organisasi,Kondisi_Ekonomi,Kualitas_Akses_Internet,Pengalaman_Magang,Jumlah_Sertifikasi,Aktivitas_Sosial_Skor,Status_Pekerjaan,Dukungan_Keluarga,Skor_Softskill,Kelulusan_Tepat_Waktu,Arah_Karier
MHS00019,Manajemen,3.77,3.47,82,108,1,Rendah,Kurang,Ya,1,9,Tidak Bekerja,2,4,Tepat Waktu,Wirausaha
MHS00020,Manajemen,2.98,2.72,83,119,2,Menengah,Kurang,Ya,1,9,Part-time,4,7,Tidak Tepat Waktu,Lanjut Studi
MHS00021,Komputer,3.45,3.54,91,132,2,Menengah,Cukup,Tidak,1,8,Freelance,3,7,Tepat Waktu,Wirausaha Digital
MHS00022,Manajemen,2.98,2.74,77,103,3,Menengah,Kurang,Ya,0,7,Part-time,3,7,Tidak Tepat Waktu,Wirausaha
MHS00023,Bisnis Digital,3.8,3.76,87,129,2,Menengah,Cukup,Ya,8,6,Tidak Bekerja,3,7,Tepat Waktu,E-Commerce
MHS00024,Bisnis Digital,3.23,3.79,80,141,2,Tinggi,Baik,Ya,3,6,Part-time,3,5,Tepat Waktu,Lanjut Studi
MHS00025,Bisnis Digital,2.54,2.25,81,102,2,Tinggi,Cukup,Ya,2,6,Freelance,1,6,Tidak Tepat Waktu,E-Commerce
MHS00026,Komputer,3.19,3.05,83,119,2,Rendah,Kurang,Tidak,5,10,Tidak Bekerja,4,8,Tepat Waktu,Startup
MHS00027,Komputer,3.25,3.1,77,131,2,Menengah,Kurang,Ya,8,5,Tidak Bekerja,3,5,Tepat Waktu,Startup
MHS00028,Komputer,3.71,3.66,98,119,1,Rendah,Baik,Ya,1,2,Freelance,2,6,Tepat Waktu,Lanjut Studi
MHS00029,Manajemen,3.93,3.94,85,113,3,Menengah,Cukup,Ya,1,8,Part-time,4,7,Tepat Waktu,Lanjut Studi
MHS00030,Manajemen,3.34,3.49,75,117,4,Rendah,Baik,Ya,2,8,Tidak Bekerja,4,8,Tepat Waktu,Industri Manajemen
MHS00031,Manajemen,3.12,2.86,69,128,0,Menengah,Cukup,Tidak,1,3,Freelance,4,5,Tidak Tepat Waktu,Industri Manajemen
MHS00032,Manajemen,3.35,3.13,78,119,0,Menengah,Cukup,Tidak,3,6,Tidak Bekerja,2,7,Tepat Waktu,Wirausaha
MHS00033,Manajemen,3.74,3.55,99,131,0,Menengah,Cukup,Ya,3,5,Tidak Bekerja,4,7,Tepat Waktu,Marketing
MHS00034,Komputer,3.61,3.54,100,137,2,Menengah,Baik,Ya,3,5,Tidak Bekerja,2,4,Tepat Waktu,Startup
MHS00035,Manajemen,3.6,3.61,100,132,1,Rendah,Cukup,Tidak,4,8,Part-time,3,6,Tepat Waktu,Wirausaha
MHS00036,Komputer,2.97,3.23,82,124,2,Tinggi,Baik,Ya,5,4,Tidak Bekerja,4,6,Tepat Waktu,Lanjut Studi
MHS00037,Bisnis Digital,3.78,3.8,90,135,2,Menengah,Baik,Ya,7,10,Tidak Bekerja,2,6,Tepat Waktu,Digital Marketing
MHS00038,Manajemen,3.36,3.28,84,96,1,Menengah,Kurang,Tidak,3,4,Tidak Bekerja,4,3,Tidak Tepat Waktu,Marketing
MHS00039,Komputer,3.3,3.13,71,105,3,Menengah,Cukup,Ya,4,7,Tidak Bekerja,3,9,Tepat Waktu,Software Developer
MHS00040,Bisnis Digital,3.27,3.19,97,138,1,Rendah,Cukup,Tidak,3,4,Part-time,4,7,Tepat Waktu,Digital Marketing
MHS00041,Manajemen,3.19,3.43,84,114,0,Menengah,Cukup,Tidak,2,4,Tidak Bekerja,1,9,Tepat Waktu,Pemerintahan
MHS00042,Komputer,2.76,2.86,85,106,2,Rendah,Kurang,Tidak,3,5,Freelance,4,6,Tidak Tepat Waktu,Data Analyst
MHS00043,Komputer,3.15,3.06,74,131,2,Rendah,Kurang,Ya,6,3,Part-time,2,10,Tepat Waktu,Data Analyst
MHS00044,Bisnis Digital,3.44,3.23,88,144,2,Menengah,Baik,Ya,2,8,Part-time,3,8,Tepat Waktu,E-Commerce
MHS00045,Bisnis Digital,3.25,2.88,77,100,1,Menengah,Cukup,Ya,2,4,Freelance,2,4,Tidak Tepat Waktu,Wirausaha Digital
MHS00046,Manajemen,3.8,3.84,86,123,0,Tinggi,Baik,Tidak,0,3,Tidak Bekerja,3,6,Tepat Waktu,Industri Manajemen
MHS00047,Komputer,3.17,3.47,84,122,0,Menengah,Cukup,Ya,5,4,Part-time,4,7,Tepat Waktu,Software Developer
MHS00048,Bisnis Digital,2.66,2.87,83,128,2,Menengah,Kurang,Tidak,2,8,Tidak Bekerja,3,4,Tidak Tepat Waktu,Wirausaha Digital
MHS00049,Manajemen,3.41,3.74,89,135,2,Menengah,Cukup,Tidak,1,9,Tidak Bekerja,3,8,Tepat Waktu,Human Resource
MHS00050,Komputer,2.97,2.87,80,107,1,Rendah,Kurang,Ya,5,6,Part-time,3,6,Tidak Tepat Waktu,Industri Teknologi
MHS00051,Manajemen,3.48,3.27,86,99,2,Menengah,Cukup,Ya,4,8,Tidak Bekerja,4,10,Tepat Waktu,Marketing
MHS00052,Komputer,3.03,3.07,87,110,0,Menengah,Cukup,Tidak,5,4,Part-time,3,8,Tepat Waktu,Data Analyst
MHS00053,Komputer,3.8,3.57,100,129,2,Rendah,Kurang,Ya,7,9,Tidak Bekerja,3,6,Tepat Waktu,Startup
MHS00054,Komputer,3.37,3.68,82,114,3,Tinggi,Baik,Tidak,4,4,Tidak Bekerja,3,4,Tepat Waktu,Software Developer
MHS00055,Bisnis Digital,3.8,4.0,97,120,2,Menengah,Cukup,Tidak,1,7,Freelance,4,6,Tepat Waktu,Lanjut Studi
MHS00056,Manajemen,3.43,3.36,84,113,3,Rendah,Baik,Ya,2,5,Freelance,3,8,Tepat Waktu,Human Resource
MHS00057,Bisnis Digital,3.06,3.33,72,124,0,Tinggi,Baik,Ya,3,4,Freelance,1,7,Tepat Waktu,Startup
MHS00058,Komputer,3.21,3.32,98,130,0,Tinggi,Cukup,Ya,3,1,Tidak Bekerja,3,9,Tepat Waktu,Data Analyst
MHS00059,Manajemen,3.46,3.44,84,125,0,Menengah,Baik,Ya,1,5,Tidak Bekerja,5,7,Tepat Waktu,Human Resource
MHS00060,Komputer,3.1,2.98,87,115,3,Tinggi,Baik,Tidak,7,7,Freelance,3,8,Tepat Waktu,Software Developer
MHS00061,Bisnis Digital,3.73,3.59,93,128,1,Menengah,Kurang,Ya,4,6,Part-time,3,7,Tepat Waktu,Digital Marketing
MHS00062,Bisnis Digital,3.79,3.38,78,125,5,Tinggi,Kurang,Ya,5,10,Freelance,3,8,Tepat Waktu,E-Commerce
MHS00063,Manajemen,2.89,2.61,85,113,3,Tinggi,Cukup,Tidak,2,2,Tidak Bekerja,3,5,Tidak Tepat Waktu,Human Resource
MHS00064,Komputer,3.57,3.66,87,127,1,Menengah,Kurang,Tidak,3,6,Tidak Bekerja,2,4,Tepat Waktu,Startup
MHS00065,Komputer,3.83,3.55,91,144,1,Menengah,Baik,Ya,1,5,Tidak Bekerja,5,6,Tepat Waktu,Data Analyst
MHS00066,Komputer,3.09,3.39,100,112,0,Tinggi,Cukup,Tidak,6,3,Tidak Bekerja,3,4,Tepat Waktu,Software Developer
MHS00067,Manajemen,3.02,2.89,93,100,1,Menengah,Baik,Tidak,2,2,Freelance,4,9,Tidak Tepat Waktu,Lanjut Studi
MHS00068,Komputer,3.23,2.68,84,113,1,Menengah,Kurang,Ya,6,6,Tidak Bekerja,5,2,Tidak Tepat Waktu,Wirausaha Digital
MHS00069,Manajemen,3.26,3.26,78,131,0,Tinggi,Baik,Ya,3,6,Tidak Bekerja,2,9,Tepat Waktu,Human Resource
MHS00070,Komputer,3.18,3.53,84,118,2,Rendah,Cukup,Ya,8,6,Freelance,4,7,Tepat Waktu,Data Analyst
MHS00071,Bisnis Digital,3.85,4.0,100,109,1,Menengah,Cukup,Ya,6,3,Part-time,2,7,Tepat Waktu,Digital Marketing
MHS00072,Bisnis Digital,4.0,3.71,80,129,1,Rendah,Cukup,Tidak,7,3,Part-time,3,7,Tepat Waktu,Lanjut Studi
MHS00073,Manajemen,3.64,3.4,95,134,1,Rendah,Cukup,Ya,5,8,Tidak Bekerja,2,7,Tepat Waktu,Marketing
MHS00074,Bisnis Digital,3.34,3.39,69,100,1,Rendah,Kurang,Ya,6,5,Tidak Bekerja,5,8,Tepat Waktu,Startup
MHS00075,Bisnis Digital,4.0,3.7,82,143,2,Tinggi,Baik,Ya,6,7,Freelance,3,5,Tepat Waktu,Lanjut Studi
MHS00076,Manajemen,3.27,2.93,86,113,0,Menengah,Baik,Ya,1,3,Part-time,4,9,Tepat Waktu,Marketing
MHS00077,Komputer,2.68,2.66,98,121,0,Menengah,Cukup,Ya,3,7,Tidak Bekerja,3,5,Tidak Tepat Waktu,Lanjut Studi
MHS00078,Komputer,3.37,3.15,91,102,1,Tinggi,Baik,Ya,0,4,Part-time,5,6,Tepat Waktu,Startup
MHS00079,Bisnis Digital,2.47,2.17,100,109,1,Menengah,Kurang,Ya,5,5,Tidak Bekerja,3,6,Tidak Tepat Waktu,Startup
MHS00080,Komputer,3.57,3.8,92,142,4,Menengah,Cukup,Ya,5,9,Part-time,3,7,Tepat Waktu,Startup
MHS00081,Bisnis Digital,3.31,3.24,70,118,3,Tinggi,Baik,Tidak,3,5,Part-time,1,6,Tidak Tepat Waktu,Digital Marketing
MHS00082,Komputer,2.81,2.67,81,123,2,Menengah,Baik,Tidak,1,10,Tidak Bekerja,4,9,Tidak Tepat Waktu,Data Analyst
MHS00083,Komputer,3.33,3.14,90,109,2,Menengah,Cukup,Ya,2,4,Freelance,3,6,Tepat Waktu,Data Analyst
MHS00084,Bisnis Digital,3.02,2.85,85,87,1,Menengah,Kurang,Ya,5,6,Tidak Bekerja,2,7,Tidak Tepat Waktu,Startup
MHS00085,Komputer,3.82,3.79,79,113,2,Rendah,Kurang,Ya,1,6,Tidak Bekerja,2,7,Tepat Waktu,Industri Teknologi
MHS00086,Komputer,3.57,3.7,85,130,5,Menengah,Cukup,Ya,3,10,Tidak Bekerja,4,6,Tepat Waktu,Startup
MHS00087,Komputer,3.47,3.44,84,117,1,Menengah,Cukup,Ya,4,5,Tidak Bekerja,2,5,Tepat Waktu,Software Developer
MHS00088,Bisnis Digital,3.38,3.27,95,139,3,Menengah,Cukup,Ya,4,7,Tidak Bekerja,3,5,Tepat Waktu,Startup
MHS00089,Komputer,3.13,3.0,86,118,0,Menengah,Baik,Tidak,3,10,Freelance,3,9,Tepat Waktu,Software Developer
MHS00090,Komputer,3.19,3.36,59,129,2,Menengah,Cukup,Ya,2,3,Freelance,3,8,Tepat Waktu,Lanjut Studi
MHS00091,Komputer,3.25,3.24,70,137,1,Menengah,Kurang,Tidak,1,5,Tidak Bekerja,4,6,Tidak Tepat Waktu,Software Developer
MHS00092,Komputer,3.29,3.28,89,122,2,Menengah,Baik,Ya,5,6,Tidak Bekerja,3,6,Tepat Waktu,Industri Teknologi
MHS00093,Manajemen,2.93,2.93,81,115,1,Rendah,Cukup,Tidak,4,5,Part-time,4,6,Tidak Tepat Waktu,Wirausaha
MHS00094,Komputer,3.36,3.46,90,107,2,Menengah,Kurang,Ya,5,2,Tidak Bekerja,3,8,Tepat Waktu,Software Developer
MHS00095,Komputer,2.91,2.91,86,111,4,Menengah,Cukup,Tidak,3,9,Freelance,2,7,Tidak Tepat Waktu,Industri Teknologi
MHS00096,Komputer,3.19,3.41,82,106,0,Tinggi,Baik,Ya,1,1,Tidak Bekerja,5,7,Tepat Waktu,Industri Teknologi
MHS00097,Manajemen,3.46,3.56,100,100,0,Rendah,Cukup,Ya,4,6,Tidak Bekerja,4,7,Tepat Waktu,Human Resource
MHS00098,Manajemen,2.92,2.97,67,114,1,Menengah,Cukup,Tidak,0,5,Tidak Bekerja,2,8,Tidak Tepat Waktu,Marketing
MHS00099,Bisnis Digital,3.12,3.18,77,117,1,Menengah,Baik,Ya,3,7,Part-time,5,8,Tepat Waktu,E-Commerce
MHS00100,Komputer,3.3,3.28,89,106,2,Menengah,Baik,Tidak,1,8,Tidak Bekerja,3,8,Tepat Waktu,Lanjut Studi
MHS00101,Manajemen,3.06,2.53,71,127,3,Rendah,Cukup,Ya,2,5,Part-time,1,10,Tidak Tepat Waktu,Lanjut Studi
MHS00102,Komputer,3.4,3.25,80,111,2,Menengah,Cukup,Ya,3,6,Tidak Bekerja,4,4,Tepat Waktu,Startup
MHS00103,Komputer,3.62,3.51,89,116,2,Rendah,Kurang,Tidak,3,5,Tidak Bekerja,4,4,Tepat Waktu,Data Analyst
MHS00104,Komputer,2.52,2.36,69,106,1,Rendah,Kurang,Ya,2,6,Tidak Bekerja,3,8,Tidak Tepat Waktu,Software Developer
MHS00105,Komputer,2.82,3.14,73,121,1,Menengah,Cukup,Ya,4,4,Tidak Bekerja,4,9,Tepat Waktu,Software Developer
MHS00106,Manajemen,3.15,3.15,87,119,0,Menengah,Baik,Ya,4,6,Part-time,4,6,Tepat Waktu,Industri Manajemen
MHS00107,Komputer,2.9,2.99,97,125,1,Tinggi,Baik,Ya,2,3,Freelance,4,10,Tepat Waktu,Industri Teknologi
MHS00108,Komputer,3.52,3.67,84,138,0,Tinggi,Cukup,Ya,0,6,Freelance,4,6,Tepat Waktu,Data Analyst
MHS00109,Manajemen,3.48,3.5,82,126,0,Tinggi,Baik,Tidak,1,5,Part-time,2,8,Tepat Waktu,Marketing
MHS00110,Bisnis Digital,3.11,3.14,82,92,1,Menengah,Kurang,Tidak,6,6,Part-time,2,6,Tidak Tepat Waktu,Digital Marketing
MHS00111,Komputer,2.32,2.24,69,114,1,Menengah,Cukup,Ya,3,1,Tidak Bekerja,3,9,Tidak Tepat Waktu,Data Analyst
MHS00112,Komputer,3.67,3.76,83,129,1,Tinggi,Baik,Ya,5,4,Freelance,5,9,Tepat Waktu,Data Analyst
MHS00113,Bisnis Digital,2.85,3.45,75,111,0,Menengah,Cukup,Ya,5,9,Tidak Bekerja,5,7,Tepat Waktu,E-Commerce
MHS00114,Bisnis Digital,3.69,3.85,86,116,2,Tinggi,Baik,Ya,5,7,Freelance,4,9,Tepat Waktu,E-Commerce
MHS00115,Bisnis Digital,3.6,3.91,76,114,2,Menengah,Cukup,Ya,5,7,Freelance,3,8,Tepat Waktu,E-Commerce
MHS00116,Komputer,2.95,2.4,60,130,2,Menengah,Cukup,Ya,4,6,Tidak Bekerja,3,8,Tidak Tepat Waktu,Startup
MHS00117,Manajemen,3.28,3.69,87,108,2,Menengah,Kurang,Ya,6,6,Tidak Bekerja,1,5,Tepat Waktu,Marketing
MHS00118,Komputer,3.17,3.07,96,118,2,Tinggi,Baik,Ya,4,8,Part-time,4,7,Tepat Waktu,Data Analyst
MHS00119,Manajemen,3.33,3.59,86,131,2,Menengah,Kurang,Tidak,1,5,Tidak Bekerja,2,10,Tepat Waktu,Industri Manajemen
MHS00120,Komputer,3.27,3.27,95,123,3,Menengah,Cukup,Tidak,4,7,Freelance,3,3,Tepat Waktu,Industri Teknologi
MHS00121,Manajemen,3.12,2.83,71,139,3,Rendah,Baik,Tidak,1,9,Part-time,4,6,Tidak Tepat Waktu,Pemerintahan
MHS00122,Manajemen,2.85,2.48,80,123,0,Menengah,Baik,Ya,3,8,Tidak Bekerja,4,8,Tidak Tepat Waktu,Human Resource
MHS00123,Bisnis Digital,3.48,3.64,88,141,2,Menengah,Cukup,Ya,4,5,Tidak Bekerja,4,8,Tepat Waktu,Startup
MHS00124,Manajemen,3.13,3.14,76,110,3,Menengah,Cukup,Ya,2,10,Freelance,4,7,Tepat Waktu,Marketing
MHS00125,Komputer,3.77,3.88,100,99,1,Menengah,Kurang,Ya,2,3,Tidak Bekerja,3,6,Tepat Waktu,Lanjut Studi
MHS00126,Manajemen,3.62,3.64,78,113,2,Menengah,Kurang,Tidak,3,5,Tidak Bekerja,2,4,Tepat Waktu,Lanjut Studi
MHS00127,Komputer,2.54,2.82,83,94,2,Menengah,Cukup,Ya,6,6,Tidak Bekerja,4,5,Tidak Tepat Waktu,Data Analyst
MHS00128,Komputer,3.11,3.53,85,120,3,Rendah,Baik,Ya,2,6,Tidak Bekerja,5,8,Tepat Waktu,Startup
MHS00129,Komputer,2.46,2.44,80,108,4,Tinggi,Baik,Tidak,3,8,Tidak Bekerja,4,8,Tidak Tepat Waktu,Wirausaha Digital
MHS00130,Bisnis Digital,3.33,3.09,66,108,0,Rendah,Cukup,Tidak,1,3,Part-time,4,8,Tidak Tepat Waktu,Wirausaha Digital
MHS00131,Manajemen,3.41,3.24,75,120,4,Rendah,Baik,Tidak,1,8,Part-time,5,10,Tepat Waktu,Industri Manajemen
MHS00132,Manajemen,3.02,3.01,63,103,1,Tinggi,Baik,Tidak,2,9,Freelance,4,7,Tidak Tepat Waktu,Human Resource
MHS00133,Bisnis Digital,3.03,3.44,93,108,2,Rendah,Kurang,Ya,1,6,Tidak Bekerja,4,9,Tepat Waktu,Digital Marketing
MHS00134,Manajemen,3.26,3.29,83,131,3,Rendah,Baik,Ya,5,2,Part-time,1,8,Tepat Waktu,Human Resource
MHS00135,Manajemen,3.65,4.0,85,115,0,Menengah,Cukup,Ya,1,4,Tidak Bekerja,3,9,Tepat Waktu,Lanjut Studi
MHS00136,Manajemen,3.21,2.99,90,118,0,Menengah,Cukup,Ya,1,8,Tidak Bekerja,5,8,Tepat Waktu,Industri Manajemen
MHS00137,Manajemen,2.39,2.0,90,115,0,Rendah,Kurang,Ya,2,2,Tidak Bekerja,2,6,Tidak Tepat Waktu,Pemerintahan
MHS00138,Komputer,2.73,2.81,79,106,0,Menengah,Kurang,Ya,8,7,Tidak Bekerja,3,4,Tidak Tepat Waktu,Software Developer
MHS00139,Komputer,2.99,3.33,86,100,1,Tinggi,Baik,Tidak,6,5,Freelance,3,5,Tidak Tepat Waktu,Data Analyst
MHS00140,Manajemen,3.25,3.08,92,120,1,Menengah,Cukup,Ya,1,7,Tidak Bekerja,2,8,Tepat Waktu,Industri Manajemen
MHS00141,Manajemen,3.1,2.88,82,114,1,Tinggi,Baik,Ya,1,5,Tidak Bekerja,3,7,Tidak Tepat Waktu,Marketing
MHS00142,Komputer,2.94,3.25,69,101,1,Menengah,Cukup,Tidak,3,4,Tidak Bekerja,4,6,Tidak Tepat Waktu,Data Analyst
MHS00143,Komputer,2.98,3.19,72,102,0,Menengah,Cukup,Tidak,0,4,Part-time,3,5,Tidak Tepat Waktu,Startup
MHS00144,Manajemen,2.94,2.83,70,103,1,Tinggi,Cukup,Tidak,3,3,Part-time,3,7,Tidak Tepat Waktu,Marketing
MHS00145,Komputer,3.21,3.05,95,108,2,Menengah,Baik,Ya,5,8,Tidak Bekerja,3,6,Tepat Waktu,Software Developer
MHS00146,Komputer,3.21,3.07,93,131,1,Rendah,Cukup,Ya,1,4,Tidak Bekerja,3,4,Tepat Waktu,Startup
MHS00147,Manajemen,3.31,3.26,71,107,1,Menengah,Kurang,Ya,2,9,Tidak Bekerja,4,7,Tepat Waktu,Marketing
MHS00148,Komputer,3.77,3.92,89,135,0,Tinggi,Baik,Ya,2,4,Tidak Bekerja,4,4,Tepat Waktu,Lanjut Studi
MHS00149,Bisnis Digital,2.81,2.66,75,107,4,Menengah,Baik,Ya,2,7,Part-time,4,5,Tidak Tepat Waktu,Startup
MHS00150,Komputer,3.27,2.98,86,99,0,Menengah,Kurang,Ya,3,7,Tidak Bekerja,2,10,Tepat Waktu,Software Developer
MHS00151,Manajemen,3.28,3.46,86,122,1,Menengah,Baik,Ya,1,7,Freelance,3,10,Tepat Waktu,Human Resource
MHS00152,Komputer,3.24,3.14,89,120,2,Rendah,Kurang,Ya,1,3,Part-time,4,7,Tepat Waktu,Data Analyst
MHS00153,Manajemen,3.24,2.94,84,140,1,Menengah,Cukup,Tidak,0,7,Part-time,3,8,Tepat Waktu,Pemerintahan
MHS00154,Bisnis Digital,3.15,3.19,66,113,3,Rendah,Cukup,Ya,9,6,Part-time,1,6,Tepat Waktu,Digital Marketing
MHS00155,Komputer,3.69,3.66,100,121,1,Menengah,Cukup,Ya,3,4,Tidak Bekerja,3,7,Tepat Waktu,Data Analyst
MHS00156,Komputer,3.25,3.07,68,123,1,Menengah,Kurang,Ya,2,1,Tidak Bekerja,3,6,Tidak Tepat Waktu,Startup
MHS00157,Manajemen,2.99,2.94,76,122,2,Tinggi,Baik,Ya,4,5,Part-time,2,9,Tepat Waktu,Industri Manajemen
MHS00158,Komputer,2.98,2.83,84,96,1,Menengah,Baik,Ya,5,5,Freelance,2,5,Tidak Tepat Waktu,Startup
MHS00159,Manajemen,2.71,2.89,83,122,0,Rendah,Cukup,Ya,6,8,Part-time,5,5,Tidak Tepat Waktu,Lanjut Studi
MHS00160,Bisnis Digital,3.02,2.68,90,124,2,Tinggi,Baik,Ya,4,8,Freelance,3,8,Tepat Waktu,Startup
MHS00161,Komputer,3.39,3.24,73,139,0,Rendah,Kurang,Ya,3,3,Tidak Bekerja,3,7,Tepat Waktu,Startup
MHS00162,Manajemen,3.23,3.37,89,127,1,Rendah,Kurang,Ya,0,3,Tidak Bekerja,5,8,Tepat Waktu,Industri Manajemen
MHS00163,Komputer,3.58,3.42,81,96,1,Menengah,Cukup,Tidak,4,7,Part-time,2,8,Tepat Waktu,Data Analyst
MHS00164,Komputer,2.56,2.68,80,105,1,Tinggi,Cukup,Ya,4,3,Tidak Bekerja,2,1,Tidak Tepat Waktu,Industri Teknologi
MHS00165,Manajemen,2.73,2.93,81,109,1,Rendah,Kurang,Tidak,2,8,Freelance,2,9,Tidak Tepat Waktu,Marketing
MHS00166,Manajemen,3.41,3.38,100,123,0,Menengah,Kurang,Ya,5,5,Tidak Bekerja,3,5,Tepat Waktu,Marketing
MHS00167,Bisnis Digital,3.15,2.95,100,119,1,Rendah,Baik,Tidak,2,4,Tidak Bekerja,2,9,Tepat Waktu,Lanjut Studi
MHS00168,Komputer,3.25,3.24,88,144,0,Menengah,Cukup,Tidak,2,8,Tidak Bekerja,4,7,Tepat Waktu,Industri Teknologi
MHS00169,Manajemen,3.65,3.5,84,143,1,Menengah,Baik,Ya,3,6,Tidak Bekerja,3,8,Tepat Waktu,Marketing
MHS00170,Bisnis Digital,2.87,3.06,78,117,1,Menengah,Cukup,Ya,2,4,Tidak Bekerja,4,5,Tidak Tepat Waktu,Wirausaha Digital
MHS00171,Manajemen,2.88,2.74,86,105,3,Menengah,Cukup,Tidak,4,4,Part-time,2,7,Tidak Tepat Waktu,Human Resource
MHS00172,Manajemen,3.36,3.57,98,141,3,Menengah,Cukup,Tidak,0,8,Tidak Bekerja,3,7,Tepat Waktu,Human Resource
MHS00173,Komputer,3.02,2.8,94,113,2,Tinggi,Baik,Ya,2,2,Freelance,4,8,Tepat Waktu,Software Developer
MHS00174,Komputer,3.25,3.37,75,137,1,Menengah,Kurang,Tidak,0,3,Tidak Bekerja,3,6,Tidak Tepat Waktu,Startup
MHS00175,Bisnis Digital,2.71,2.56,89,122,3,Tinggi,Cukup,Tidak,2,9,Part-time,3,4,Tidak Tepat Waktu,E-Commerce
MHS00176,Komputer,3.35,3.78,86,111,3,Menengah,Baik,Ya,4,8,Freelance,4,8,Tepat Waktu,Software Developer
MHS00177,Bisnis Digital,3.08,3.13,100,129,3,Menengah,Cukup,Ya,4,10,Freelance,3,7,Tepat Waktu,E-Commerce
MHS00178,Manajemen,3.82,3.6,80,116,4,Menengah,Cukup,Ya,4,10,Tidak Bekerja,2,8,Tepat Waktu,Marketing
MHS00179,Manajemen,3.52,3.49,95,118,5,Tinggi,Baik,Tidak,0,7,Part-time,4,8,Tepat Waktu,Pemerintahan
MHS00180,Komputer,2.91,2.78,77,117,0,Menengah,Cukup,Ya,4,6,Tidak Bekerja,2,4,Tidak Tepat Waktu,Data Analyst
MHS00181,Manajemen,3.56,3.97,99,135,1,Menengah,Cukup,Tidak,2,3,Tidak Bekerja,4,9,Tepat Waktu,Lanjut Studi
MHS00182,Bisnis Digital,2.99,2.56,100,96,2,Rendah,Kurang,Ya,2,7,Tidak Bekerja,2,9,Tidak Tepat Waktu,Wirausaha Digital
MHS00183,Bisnis Digital,3.22,3.06,69,104,3,Rendah,Kurang,Ya,6,6,Tidak Bekerja,2,8,Tepat Waktu,E-Commerce
MHS00184,Bisnis Digital,3.15,3.26,82,112,2,Tinggi,Baik,Ya,4,3,Part-time,5,8,Tepat Waktu,E-Commerce
MHS00185,Manajemen,3.0,3.18,92,117,4,Menengah,Kurang,Ya,3,8,Tidak Bekerja,3,8,Tepat Waktu,Industri Manajemen
